Year,Month,SSTA,month,year
1854,1,0.28,0.041666667,1854.041667
1854,2,0.34,0.125,1854.125
1854,3,0.34,0.208333333,1854.208333
1854,4,0.16,0.291666667,1854.291667
1854,5,0.02,0.375,1854.375
1854,6,-0.18,0.458333333,1854.458333
1854,7,-0.07,0.541666667,1854.541667
1854,8,-0.2,0.625,1854.625
1854,9,-0.04,0.708333333,1854.708333
1854,10,0.09,0.791666667,1854.791667
1854,11,0.2,0.875,1854.875
1854,12,0.41,0.958333333,1854.958333
1855,1,0.29,0.041666667,1855.041667
1855,2,0.26,0.125,1855.125
1855,3,0.13,0.208333333,1855.208333
1855,4,0.01,0.291666667,1855.291667
1855,5,-0.1,0.375,1855.375
1855,6,-0.06,0.458333333,1855.458333
1855,7,-0.07,0.541666667,1855.541667
1855,8,-0.14,0.625,1855.625
1855,9,-0.18,0.708333333,1855.708333
1855,10,0.19,0.791666667,1855.791667
1855,11,0.31,0.875,1855.875
1855,12,0.14,0.958333333,1855.958333
1856,1,-0.1,0.041666667,1856.041667
1856,2,-0.21,0.125,1856.125
1856,3,-0.12,0.208333333,1856.208333
1856,4,-0.17,0.291666667,1856.291667
1856,5,-0.22,0.375,1856.375
1856,6,-0.18,0.458333333,1856.458333
1856,7,-0.34,0.541666667,1856.541667
1856,8,-0.16,0.625,1856.625
1856,9,0.04,0.708333333,1856.708333
1856,10,-0.04,0.791666667,1856.791667
1856,11,0.01,0.875,1856.875
1856,12,-0.11,0.958333333,1856.958333
1857,1,-0.1,0.041666667,1857.041667
1857,2,-0.03,0.125,1857.125
1857,3,-0.15,0.208333333,1857.208333
1857,4,-0.22,0.291666667,1857.291667
1857,5,-0.33,0.375,1857.375
1857,6,-0.22,0.458333333,1857.458333
1857,7,-0.29,0.541666667,1857.541667
1857,8,-0.17,0.625,1857.625
1857,9,-0.13,0.708333333,1857.708333
1857,10,-0.27,0.791666667,1857.791667
1857,11,-0.32,0.875,1857.875
1857,12,-0.07,0.958333333,1857.958333
1858,1,-0.13,0.041666667,1858.041667
1858,2,-0.27,0.125,1858.125
1858,3,-0.4,0.208333333,1858.208333
1858,4,-0.17,0.291666667,1858.291667
1858,5,-0.25,0.375,1858.375
1858,6,-0.28,0.458333333,1858.458333
1858,7,-0.39,0.541666667,1858.541667
1858,8,-0.42,0.625,1858.625
1858,9,-0.27,0.708333333,1858.708333
1858,10,-0.11,0.791666667,1858.791667
1858,11,0.04,0.875,1858.875
1858,12,-0.13,0.958333333,1858.958333
1859,1,-0.29,0.041666667,1859.041667
1859,2,-0.22,0.125,1859.125
1859,3,0.08,0.208333333,1859.208333
1859,4,0.13,0.291666667,1859.291667
1859,5,0.08,0.375,1859.375
1859,6,-0.12,0.458333333,1859.458333
1859,7,-0.2,0.541666667,1859.541667
1859,8,-0.08,0.625,1859.625
1859,9,0.17,0.708333333,1859.708333
1859,10,0.13,0.791666667,1859.791667
1859,11,-0.09,0.875,1859.875
1859,12,-0.02,0.958333333,1859.958333
1860,1,-0.04,0.041666667,1860.041667
1860,2,-0.08,0.125,1860.125
1860,3,0.02,0.208333333,1860.208333
1860,4,-0.02,0.291666667,1860.291667
1860,5,0.1,0.375,1860.375
1860,6,-0.17,0.458333333,1860.458333
1860,7,-0.23,0.541666667,1860.541667
1860,8,-0.35,0.625,1860.625
1860,9,-0.32,0.708333333,1860.708333
1860,10,0.08,0.791666667,1860.791667
1860,11,0.31,0.875,1860.875
1860,12,0.34,0.958333333,1860.958333
1861,1,-0.01,0.041666667,1861.041667
1861,2,-0.34,0.125,1861.125
1861,3,-0.24,0.208333333,1861.208333
1861,4,-0.04,0.291666667,1861.291667
1861,5,-0.14,0.375,1861.375
1861,6,-0.23,0.458333333,1861.458333
1861,7,0.03,0.541666667,1861.541667
1861,8,0.38,0.625,1861.625
1861,9,0.27,0.708333333,1861.708333
1861,10,0.11,0.791666667,1861.791667
1861,11,0.11,0.875,1861.875
1861,12,-0.02,0.958333333,1861.958333
1862,1,-0.25,0.041666667,1862.041667
1862,2,-0.13,0.125,1862.125
1862,3,-0.16,0.208333333,1862.208333
1862,4,-0.45,0.291666667,1862.291667
1862,5,-0.5,0.375,1862.375
1862,6,-0.51,0.458333333,1862.458333
1862,7,-0.76,0.541666667,1862.541667
1862,8,-0.61,0.625,1862.625
1862,9,-0.49,0.708333333,1862.708333
1862,10,-0.56,0.791666667,1862.791667
1862,11,-0.09,0.875,1862.875
1862,12,-0.17,0.958333333,1862.958333
1863,1,-0.37,0.041666667,1863.041667
1863,2,-0.34,0.125,1863.125
1863,3,-0.18,0.208333333,1863.208333
1863,4,-0.25,0.291666667,1863.291667
1863,5,-0.07,0.375,1863.375
1863,6,-0.19,0.458333333,1863.458333
1863,7,-0.37,0.541666667,1863.541667
1863,8,-0.22,0.625,1863.625
1863,9,-0.2,0.708333333,1863.708333
1863,10,-0.28,0.791666667,1863.791667
1863,11,-0.08,0.875,1863.875
1863,12,-0.25,0.958333333,1863.958333
1864,1,-0.39,0.041666667,1864.041667
1864,2,-0.41,0.125,1864.125
1864,3,-0.47,0.208333333,1864.208333
1864,4,-0.18,0.291666667,1864.291667
1864,5,-0.07,0.375,1864.375
1864,6,0,0.458333333,1864.458333
1864,7,0.09,0.541666667,1864.541667
1864,8,0.17,0.625,1864.625
1864,9,0,0.708333333,1864.708333
1864,10,-0.06,0.791666667,1864.791667
1864,11,0.3,0.875,1864.875
1864,12,0.54,0.958333333,1864.958333
1865,1,0.03,0.041666667,1865.041667
1865,2,-0.2,0.125,1865.125
1865,3,-0.19,0.208333333,1865.208333
1865,4,-0.23,0.291666667,1865.291667
1865,5,-0.26,0.375,1865.375
1865,6,0.07,0.458333333,1865.458333
1865,7,0.25,0.541666667,1865.541667
1865,8,0.14,0.625,1865.625
1865,9,0.11,0.708333333,1865.708333
1865,10,0.4,0.791666667,1865.791667
1865,11,0.09,0.875,1865.875
1865,12,0.16,0.958333333,1865.958333
1866,1,0.11,0.041666667,1866.041667
1866,2,0.07,0.125,1866.125
1866,3,-0.09,0.208333333,1866.208333
1866,4,-0.19,0.291666667,1866.291667
1866,5,-0.06,0.375,1866.375
1866,6,0.3,0.458333333,1866.458333
1866,7,0.13,0.541666667,1866.541667
1866,8,-0.17,0.625,1866.625
1866,9,-0.08,0.708333333,1866.708333
1866,10,0.04,0.791666667,1866.791667
1866,11,0.26,0.875,1866.875
1866,12,0.39,0.958333333,1866.958333
1867,1,0.25,0.041666667,1867.041667
1867,2,0.12,0.125,1867.125
1867,3,0.01,0.208333333,1867.208333
1867,4,-0.21,0.291666667,1867.291667
1867,5,-0.1,0.375,1867.375
1867,6,-0.18,0.458333333,1867.458333
1867,7,-0.13,0.541666667,1867.541667
1867,8,0.07,0.625,1867.625
1867,9,0.05,0.708333333,1867.708333
1867,10,-0.07,0.791666667,1867.791667
1867,11,0.02,0.875,1867.875
1867,12,-0.12,0.958333333,1867.958333
1868,1,-0.09,0.041666667,1868.041667
1868,2,0.07,0.125,1868.125
1868,3,0.23,0.208333333,1868.208333
1868,4,0.07,0.291666667,1868.291667
1868,5,0.29,0.375,1868.375
1868,6,0.32,0.458333333,1868.458333
1868,7,0.12,0.541666667,1868.541667
1868,8,-0.11,0.625,1868.625
1868,9,-0.33,0.708333333,1868.708333
1868,10,-0.22,0.791666667,1868.791667
1868,11,-0.03,0.875,1868.875
1868,12,-0.24,0.958333333,1868.958333
1869,1,-0.18,0.041666667,1869.041667
1869,2,-0.01,0.125,1869.125
1869,3,0.16,0.208333333,1869.208333
1869,4,-0.08,0.291666667,1869.291667
1869,5,0.01,0.375,1869.375
1869,6,0.02,0.458333333,1869.458333
1869,7,-0.02,0.541666667,1869.541667
1869,8,-0.25,0.625,1869.625
1869,9,-0.16,0.708333333,1869.708333
1869,10,-0.15,0.791666667,1869.791667
1869,11,-0.03,0.875,1869.875
1869,12,-0.01,0.958333333,1869.958333
1870,1,0.11,0.041666667,1870.041667
1870,2,0.16,0.125,1870.125
1870,3,0.03,0.208333333,1870.208333
1870,4,-0.05,0.291666667,1870.291667
1870,5,0.05,0.375,1870.375
1870,6,-0.24,0.458333333,1870.458333
1870,7,0.1,0.541666667,1870.541667
1870,8,-0.29,0.625,1870.625
1870,9,-0.22,0.708333333,1870.708333
1870,10,-0.05,0.791666667,1870.791667
1870,11,0.04,0.875,1870.875
1870,12,-0.01,0.958333333,1870.958333
1871,1,-0.34,0.041666667,1871.041667
1871,2,-0.3,0.125,1871.125
1871,3,-0.1,0.208333333,1871.208333
1871,4,0.06,0.291666667,1871.291667
1871,5,0.16,0.375,1871.375
1871,6,0.18,0.458333333,1871.458333
1871,7,0.13,0.541666667,1871.541667
1871,8,-0.17,0.625,1871.625
1871,9,-0.31,0.708333333,1871.708333
1871,10,-0.39,0.791666667,1871.791667
1871,11,0.03,0.875,1871.875
1871,12,-0.01,0.958333333,1871.958333
1872,1,-0.19,0.041666667,1872.041667
1872,2,-0.35,0.125,1872.125
1872,3,-0.43,0.208333333,1872.208333
1872,4,-0.35,0.291666667,1872.291667
1872,5,-0.14,0.375,1872.375
1872,6,-0.11,0.458333333,1872.458333
1872,7,-0.12,0.541666667,1872.541667
1872,8,0.15,0.625,1872.625
1872,9,-0.06,0.708333333,1872.708333
1872,10,-0.12,0.791666667,1872.791667
1872,11,-0.29,0.875,1872.875
1872,12,-0.24,0.958333333,1872.958333
1873,1,0,0.041666667,1873.041667
1873,2,-0.23,0.125,1873.125
1873,3,-0.34,0.208333333,1873.208333
1873,4,-0.37,0.291666667,1873.291667
1873,5,-0.24,0.375,1873.375
1873,6,-0.27,0.458333333,1873.458333
1873,7,-0.34,0.541666667,1873.541667
1873,8,-0.05,0.625,1873.625
1873,9,-0.04,0.708333333,1873.708333
1873,10,0.16,0.791666667,1873.791667
1873,11,-0.03,0.875,1873.875
1873,12,0.14,0.958333333,1873.958333
1874,1,0.12,0.041666667,1874.041667
1874,2,0.01,0.125,1874.125
1874,3,-0.03,0.208333333,1874.208333
1874,4,-0.07,0.291666667,1874.291667
1874,5,-0.14,0.375,1874.375
1874,6,-0.13,0.458333333,1874.458333
1874,7,0.05,0.541666667,1874.541667
1874,8,0.02,0.625,1874.625
1874,9,0.01,0.708333333,1874.708333
1874,10,-0.08,0.791666667,1874.791667
1874,11,-0.24,0.875,1874.875
1874,12,-0.39,0.958333333,1874.958333
1875,1,-0.21,0.041666667,1875.041667
1875,2,-0.03,0.125,1875.125
1875,3,-0.12,0.208333333,1875.208333
1875,4,-0.14,0.291666667,1875.291667
1875,5,-0.08,0.375,1875.375
1875,6,-0.07,0.458333333,1875.458333
1875,7,-0.12,0.541666667,1875.541667
1875,8,-0.16,0.625,1875.625
1875,9,0.04,0.708333333,1875.708333
1875,10,0.35,0.791666667,1875.791667
1875,11,0.08,0.875,1875.875
1875,12,0.04,0.958333333,1875.958333
1876,1,-0.08,0.041666667,1876.041667
1876,2,-0.18,0.125,1876.125
1876,3,-0.35,0.208333333,1876.208333
1876,4,-0.53,0.291666667,1876.291667
1876,5,-0.38,0.375,1876.375
1876,6,-0.19,0.458333333,1876.458333
1876,7,-0.1,0.541666667,1876.541667
1876,8,0.1,0.625,1876.625
1876,9,0.28,0.708333333,1876.708333
1876,10,0.55,0.791666667,1876.791667
1876,11,0.2,0.875,1876.875
1876,12,0.13,0.958333333,1876.958333
1877,1,0.03,0.041666667,1877.041667
1877,2,0.22,0.125,1877.125
1877,3,0.31,0.208333333,1877.208333
1877,4,0.26,0.291666667,1877.291667
1877,5,0.34,0.375,1877.375
1877,6,0.42,0.458333333,1877.458333
1877,7,0.39,0.541666667,1877.541667
1877,8,0.23,0.625,1877.625
1877,9,0.37,0.708333333,1877.708333
1877,10,0.73,0.791666667,1877.791667
1877,11,0.67,0.875,1877.875
1877,12,0.62,0.958333333,1877.958333
1878,1,0.45,0.041666667,1878.041667
1878,2,0.36,0.125,1878.125
1878,3,0.74,0.208333333,1878.208333
1878,4,0.69,0.291666667,1878.291667
1878,5,0.62,0.375,1878.375
1878,6,0.47,0.458333333,1878.458333
1878,7,0.38,0.541666667,1878.541667
1878,8,0.64,0.625,1878.625
1878,9,0.34,0.708333333,1878.708333
1878,10,-0.04,0.791666667,1878.791667
1878,11,0.04,0.875,1878.875
1878,12,0.43,0.958333333,1878.958333
1879,1,0.13,0.041666667,1879.041667
1879,2,0.2,0.125,1879.125
1879,3,-0.06,0.208333333,1879.208333
1879,4,0.09,0.291666667,1879.291667
1879,5,0.21,0.375,1879.375
1879,6,0.09,0.458333333,1879.458333
1879,7,-0.08,0.541666667,1879.541667
1879,8,-0.21,0.625,1879.625
1879,9,0.07,0.708333333,1879.708333
1879,10,0.36,0.791666667,1879.791667
1879,11,0.19,0.875,1879.875
1879,12,0.1,0.958333333,1879.958333
1880,1,0.15,0.041666667,1880.041667
1880,2,0.17,0.125,1880.125
1880,3,0.18,0.208333333,1880.208333
1880,4,0.11,0.291666667,1880.291667
1880,5,-0.13,0.375,1880.375
1880,6,-0.19,0.458333333,1880.458333
1880,7,0.08,0.541666667,1880.541667
1880,8,-0.02,0.625,1880.625
1880,9,-0.03,0.708333333,1880.708333
1880,10,0.15,0.791666667,1880.791667
1880,11,0.03,0.875,1880.875
1880,12,0,0.958333333,1880.958333
1881,1,0.28,0.041666667,1881.041667
1881,2,0.36,0.125,1881.125
1881,3,0.23,0.208333333,1881.208333
1881,4,0.06,0.291666667,1881.291667
1881,5,0.1,0.375,1881.375
1881,6,0.08,0.458333333,1881.458333
1881,7,-0.06,0.541666667,1881.541667
1881,8,-0.19,0.625,1881.625
1881,9,-0.15,0.708333333,1881.708333
1881,10,-0.26,0.791666667,1881.791667
1881,11,-0.4,0.875,1881.875
1881,12,-0.36,0.958333333,1881.958333
1882,1,-0.03,0.041666667,1882.041667
1882,2,-0.04,0.125,1882.125
1882,3,-0.09,0.208333333,1882.208333
1882,4,-0.11,0.291666667,1882.291667
1882,5,-0.22,0.375,1882.375
1882,6,-0.17,0.458333333,1882.458333
1882,7,-0.13,0.541666667,1882.541667
1882,8,-0.19,0.625,1882.625
1882,9,-0.28,0.708333333,1882.708333
1882,10,-0.12,0.791666667,1882.791667
1882,11,0.03,0.875,1882.875
1882,12,0,0.958333333,1882.958333
1883,1,-0.07,0.041666667,1883.041667
1883,2,-0.23,0.125,1883.125
1883,3,-0.37,0.208333333,1883.208333
1883,4,-0.36,0.291666667,1883.291667
1883,5,-0.42,0.375,1883.375
1883,6,-0.39,0.458333333,1883.458333
1883,7,-0.43,0.541666667,1883.541667
1883,8,-0.49,0.625,1883.625
1883,9,-0.63,0.708333333,1883.708333
1883,10,-0.36,0.791666667,1883.791667
1883,11,-0.19,0.875,1883.875
1883,12,-0.05,0.958333333,1883.958333
1884,1,-0.19,0.041666667,1884.041667
1884,2,-0.19,0.125,1884.125
1884,3,-0.28,0.208333333,1884.208333
1884,4,-0.43,0.291666667,1884.291667
1884,5,-0.25,0.375,1884.375
1884,6,-0.48,0.458333333,1884.458333
1884,7,-0.68,0.541666667,1884.541667
1884,8,-0.53,0.625,1884.625
1884,9,-0.52,0.708333333,1884.708333
1884,10,-0.41,0.791666667,1884.791667
1884,11,-0.48,0.875,1884.875
1884,12,-0.23,0.958333333,1884.958333
1885,1,-0.22,0.041666667,1885.041667
1885,2,-0.2,0.125,1885.125
1885,3,-0.29,0.208333333,1885.208333
1885,4,-0.23,0.291666667,1885.291667
1885,5,-0.23,0.375,1885.375
1885,6,-0.41,0.458333333,1885.458333
1885,7,-0.41,0.541666667,1885.541667
1885,8,-0.23,0.625,1885.625
1885,9,-0.26,0.708333333,1885.708333
1885,10,-0.08,0.791666667,1885.791667
1885,11,-0.04,0.875,1885.875
1885,12,0.01,0.958333333,1885.958333
1886,1,0.15,0.041666667,1886.041667
1886,2,0.15,0.125,1886.125
1886,3,0.05,0.208333333,1886.208333
1886,4,0.07,0.291666667,1886.291667
1886,5,0.14,0.375,1886.375
1886,6,0.03,0.458333333,1886.458333
1886,7,-0.09,0.541666667,1886.541667
1886,8,-0.32,0.625,1886.625
1886,9,-0.39,0.708333333,1886.708333
1886,10,-0.18,0.791666667,1886.791667
1886,11,-0.19,0.875,1886.875
1886,12,-0.18,0.958333333,1886.958333
1887,1,-0.28,0.041666667,1887.041667
1887,2,-0.22,0.125,1887.125
1887,3,-0.17,0.208333333,1887.208333
1887,4,-0.21,0.291666667,1887.291667
1887,5,-0.12,0.375,1887.375
1887,6,0.08,0.458333333,1887.458333
1887,7,-0.04,0.541666667,1887.541667
1887,8,-0.21,0.625,1887.625
1887,9,-0.29,0.708333333,1887.708333
1887,10,-0.07,0.791666667,1887.791667
1887,11,0,0.875,1887.875
1887,12,0.02,0.958333333,1887.958333
1888,1,0.05,0.041666667,1888.041667
1888,2,-0.03,0.125,1888.125
1888,3,-0.05,0.208333333,1888.208333
1888,4,-0.29,0.291666667,1888.291667
1888,5,-0.14,0.375,1888.375
1888,6,-0.07,0.458333333,1888.458333
1888,7,-0.34,0.541666667,1888.541667
1888,8,-0.41,0.625,1888.625
1888,9,-0.31,0.708333333,1888.708333
1888,10,-0.14,0.791666667,1888.791667
1888,11,-0.08,0.875,1888.875
1888,12,-0.03,0.958333333,1888.958333
1889,1,-0.1,0.041666667,1889.041667
1889,2,-0.11,0.125,1889.125
1889,3,-0.02,0.208333333,1889.208333
1889,4,0.02,0.291666667,1889.291667
1889,5,0.04,0.375,1889.375
1889,6,-0.13,0.458333333,1889.458333
1889,7,-0.34,0.541666667,1889.541667
1889,8,-0.32,0.625,1889.625
1889,9,-0.26,0.708333333,1889.708333
1889,10,-0.19,0.791666667,1889.791667
1889,11,-0.02,0.875,1889.875
