Case,year,year0,rep,Station,istation,depth,lat,long,latx,longy,tots,spp,HP,JP,HB,V,ES2,ES10,ES15,ES50,ES100,ES200,ES500,GD,alpha,mxd,devs,region,period,SandClass,sqrttots,sqrtspp,lnspp,lnalpha,sqrtTOC,MED,Depth (m),% Gravel,% Fines,Disturb
1,1992,0,1,FF01,1,68,42.465667,-70.621833,893249.7,2995977.8,404,51,4.611339,0.81294,3.004975,0.813693,1.94068,7.873863,10.60948,21.719201,29.898944,39.66493,0,8.497996,15.447592,0.962287,0.037713,far,pre,LE50,20.099751,7.141428,3.931826,2.737453,1.47,13,68,0.8,86.55,FALSE
2,1992,0,2,FF01,1,68,42.465667,-70.621833,893249.7,2995977.8,441,56,4.638555,0.798738,3.023702,0.798986,1.936054,7.792378,10.508596,22.090397,31.207935,42.12886,0,9.196845,17.003369,0.94663,0.05337,far,pre,LE50,21,7.483315,4.025352,2.833412,1.47,10,68,0.8,86.55,FALSE
3,1992,0,3,FF01,1,68,42.465667,-70.621833,893249.7,2995977.8,355,52,4.656239,0.816821,3.012593,0.817849,1.941895,7.915875,10.695244,22.277109,31.116849,41.695712,0,8.855408,16.786362,0.955623,0.044377,far,pre,LE50,18.841444,7.211103,3.951244,2.820567,1.47,8,68,0.8,86.55,FALSE
4,1992,0,1,FF04,2,90,42.288333,-70.425,947172.8,2931967.5,808,54,3.0523,0.530384,2.014655,0.524378,1.672635,4.938237,6.606113,14.988669,22.268782,31.183284,45.441932,8.066248,13.03403,0.662752,0.337248,far,pre,LE50,28.425341,7.348469,3.988984,2.567564,1.47,37,90,0.15,83.55,TRUE
5,1992,0,2,FF04,2,90,42.288333,-70.425,947172.8,2931967.5,539,38,3.02738,0.576872,1.993044,0.571715,1.708541,5.148615,6.817307,14.216454,19.426614,25.42181,36.816393,6.041609,9.327708,0.757096,0.242904,far,pre,LE50,23.216374,6.164414,3.637586,2.232989,1.47,33,90,0.15,83.55,FALSE
6,1992,0,3,FF04,2,90,42.288333,-70.425,947172.8,2931967.5,1212,49,3.005158,0.53523,2.016484,0.531604,1.714962,4.951666,6.422129,13.496805,19.556264,26.622655,36.910448,6.901382,10.248147,0.69418,0.30582,far,pre,LE50,34.81379,7,3.89182,2.327097,1.47,63,90,0.15,83.55,TRUE
7,1992,0,1,FF05,3,65,42.133333,-70.4225,948563.8,2875497.3,1250,50,2.383254,0.422274,1.588274,0.416395,1.532756,3.953518,5.244718,12.026788,18.119829,25.618127,37.2252,7.011739,10.428189,0.561979,0.438021,far,pre,LE50,35.355339,7.071068,3.912023,2.344513,1.11,28,65,0.65,62.5,TRUE
8,1992,0,2,FF05,3,65,42.133333,-70.4225,948563.8,2875497.3,862,41,2.046799,0.38204,1.347649,0.374118,1.458731,3.500044,4.622627,10.754218,16.411985,23.317993,33.878879,6.065757,8.95767,0.519906,0.480094,far,pre,LE50,29.359837,6.403124,3.713572,2.19251,1.11,19,65,0.65,62.5,TRUE
9,1992,0,3,FF05,3,65,42.133333,-70.4225,948563.8,2875497.3,984,54,2.348197,0.408035,1.548911,0.400977,1.524851,3.8927,5.152105,11.744652,17.779934,25.78963,40.341299,7.835597,12.28482,0.527223,0.472777,far,pre,LE50,31.368774,7.348469,3.988984,2.508364,1.11,25,65,0.65,62.5,TRUE
10,1992,0,1,FF06,4,35,41.898333,-70.403333,954864.8,2789937,1459,52,3.578844,0.627819,2.417786,0.626035,1.851564,5.950388,7.518953,14.681576,21.046723,28.529747,39.229347,7.137458,10.529473,0.779652,0.220348,far,pre,LE50,38.196859,7.211103,3.951244,2.354178,1.22,285,35,0.05,62.95,FALSE
11,1992,0,2,FF06,4,35,41.898333,-70.403333,954864.8,2789937,1404,48,3.651919,0.653884,2.468993,0.652291,1.863658,6.137498,7.782349,15.023629,21.087852,28.059559,37.938082,6.623357,9.618895,0.838989,0.161011,far,pre,LE50,37.469988,6.928203,3.871201,2.263729,1.22,259,35,0.05,62.95,FALSE
12,1992,0,3,FF06,4,35,41.898333,-70.403333,954864.8,2789937,1951,60,3.361937,0.569155,2.276001,0.566908,1.816682,5.427967,6.801253,13.699404,20.47794,29.0277,41.472964,7.919645,11.716197,0.678293,0.321707,far,pre,LE50,44.170126,7.745967,4.094345,2.460972,1.22,309,35,0.05,62.95,TRUE
13,1992,0,1,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,1259,44,3.269385,0.598851,2.208689,0.597462,1.823387,5.621382,7.051845,12.682002,16.909524,22.184501,31.431868,6.164129,8.865805,0.754673,0.245327,far,pre,LE50,35.48239,6.63325,3.78419,2.182202,1.52,257,39,0,79.2,FALSE
14,1992,0,2,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,1261,48,3.417712,0.611949,2.309454,0.611401,1.866548,5.991499,7.356158,12.178235,16.319961,21.871167,32.128592,6.723009,9.883439,0.678994,0.321006,far,pre,LE50,35.510562,6.928203,3.871201,2.290861,1.52,267,39,0,79.2,TRUE
15,1992,0,3,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,2994,50,3.522113,0.624061,2.409285,0.623503,1.873178,6.165132,7.648469,12.874243,17.190384,22.575231,31.10333,6.246591,8.526573,0.782052,0.217948,far,pre,LE50,54.717456,7.071068,3.912023,2.143187,1.52,658,39,0,79.2,FALSE
16,1992,0,1,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,2661,74,3.125871,0.503405,2.121143,0.501399,1.770675,5.079885,6.370802,12.527225,18.410245,26.325056,39.879189,9.383174,14.108819,0.582438,0.417562,far,pre,G50,51.584882,8.602325,4.304065,2.6468,0.877,30,50,0.1,18.6,TRUE
17,1992,0,2,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,2840,73,3.039996,0.491128,2.065045,0.489182,1.766287,4.958331,6.214356,12.006457,17.127251,24.16833,37.520878,9.180589,13.666852,0.57045,0.42955,far,pre,G50,53.29165,8.544004,4.290459,2.614973,0.877,139,50,0.1,18.6,TRUE
18,1992,0,3,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,2727,65,2.946418,0.489246,2.003824,0.487586,1.761434,5.044788,6.261122,10.765137,14.63981,20.573368,32.921981,8.216452,11.962724,0.541349,0.458651,far,pre,G50,52.220686,8.062258,4.174387,2.481795,0.877,145,50,0.1,18.6,TRUE
19,1992,0,1,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,3632,82,4.171366,0.656128,2.848256,0.655606,1.898274,6.925153,9.051045,17.903449,25.17019,33.943759,47.464413,10.003002,14.910227,0.817194,0.182806,near,pre,G50,60.266077,9.055385,4.406719,2.702047,0.872,329,28.7,1,31,FALSE
20,1992,0,2,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,3486,89,4.54066,0.701181,3.0992,0.701226,1.929284,7.563848,10.062133,20.220806,28.066466,37.249346,51.057034,10.911529,16.636535,0.866275,0.133725,near,pre,G50,59.042358,9.433981,4.488636,2.811601,0.872,310,28.7,1,31,FALSE
21,1992,0,3,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,3748,80,4.506635,0.712858,3.081041,0.71277,1.928268,7.556966,10.056726,20.005437,27.448795,36.188794,49.049579,9.721742,14.368398,0.920924,0.079076,near,pre,G50,61.220911,8.944272,4.382027,2.665031,0.872,275,28.7,1,31,FALSE
22,1992,0,1,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,542,39,3.313549,0.626925,2.193352,0.624959,1.843702,5.69831,7.044545,12.557058,17.465623,24.4955,37.57987,6.195131,9.635812,0.715139,0.284861,far,pre,LE50,23.280893,6.244998,3.663562,2.265487,1.37,20,88.4,0.05,77.65,TRUE
